hidden_size,n_layers,learning_rate,normalized_output,Objective,loss,moving_average,weighting_scheme
2048,15,0.001,True,MSELoss,dirichlet,0.006977969314903021,[5.e+19]
2048,15,0.001,True,MSELoss,uniform,0.008075241930782795,[5.e+19]
2048,15,0.001,True,L1Loss,dirichlet,0.043846338987350464,[5.e+19]
2048,15,0.001,True,L1Loss,uniform,0.04654514044523239,[5.e+19]
2048,15,0.001,False,MSELoss,dirichlet,0.052771128714084625,[5.e+19]
2048,15,0.001,False,MSELoss,uniform,0.02530926652252674,[5.e+19]
2048,15,0.001,False,L1Loss,dirichlet,0.1429567188024521,[5.e+19]
2048,15,0.001,False,L1Loss,uniform,0.14848238229751587,[5.e+19]
2048,15,0.0001,True,MSELoss,dirichlet,0.005787905305624008,[2.5e+19]
2048,15,0.0001,True,MSELoss,uniform,2.0176007637928706e-06,[4.15269204e-06]
2048,15,0.0001,True,L1Loss,dirichlet,0.0008848921861499548,[0.00114141]
2048,15,0.0001,True,L1Loss,uniform,0.0007037165923975408,[0.00098354]
2048,15,0.0001,False,MSELoss,dirichlet,1.7593695247342112e-06,[2.13185986e-06]
2048,15,0.0001,False,MSELoss,uniform,2.231697408205946e-06,[22737367.54433041]
2048,15,0.0001,False,L1Loss,dirichlet,0.0007309025968424976,[0.00080769]
2048,15,0.0001,False,L1Loss,uniform,0.0007108122226782143,[0.00083196]
2048,15,1e-05,True,MSELoss,dirichlet,3.2965963328024372e-06,[5.43567442e-06]
2048,15,1e-05,True,MSELoss,uniform,2.449839712426183e-06,[8.07412184e-06]
2048,15,1e-05,True,L1Loss,dirichlet,0.0007069961284287274,[0.00075008]
2048,15,1e-05,True,L1Loss,uniform,0.0006607012473978102,[0.1701897]
2048,15,1e-05,False,MSELoss,dirichlet,1.8273112800670788e-06,[2.02807887e-06]
2048,15,1e-05,False,MSELoss,uniform,1.7488353023509262e-06,[2.76004083e-06]
2048,15,1e-05,False,L1Loss,dirichlet,0.0006541860639117658,[0.00070086]
2048,15,1e-05,False,L1Loss,uniform,0.0006733076297678053,[0.67838599]
2048,12,0.001,True,MSELoss,dirichlet,0.006878972984850407,[5.e+19]
2048,12,0.001,True,MSELoss,uniform,0.007929213345050812,[5.e+19]
2048,12,0.001,True,L1Loss,dirichlet,0.043531958013772964,[5.e+19]
2048,12,0.001,True,L1Loss,uniform,0.04567506164312363,[5.e+19]
2048,12,0.001,False,MSELoss,dirichlet,0.03750555217266083,[5.e+19]
2048,12,0.001,False,MSELoss,uniform,0.021908266469836235,[5.e+19]
2048,12,0.001,False,L1Loss,dirichlet,0.1449645310640335,[5.e+19]
2048,12,0.001,False,L1Loss,uniform,0.000767073011957109,[0.00089086]
2048,12,0.0001,True,MSELoss,dirichlet,0.007313246838748455,[5.e+19]
